id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id,implied_odds,p(over),p(under),edge,suggested_kelly
24872354d6b4355ddafaba1cd4af961a,player_threes,Klay Thompson,GSW,LAL,draftkings,Under,-125,4.5,202691,0.5555555555555556,0.3721,0.6279,0.07234444444444443,0.1627749999999999
385b8ce0ef82e321f0a8936df1104804,player_threes,De'Aaron Fox,SAC,POR,draftkings,Over,115,1.5,1628368,0.4651162790697675,0.4942,0.5058,0.02908372093023248,0.05437391304347815
385b8ce0ef82e321f0a8936df1104804,player_threes,De'Aaron Fox,SAC,POR,draftkings,Under,-145,1.5,1628368,0.5918367346938775,0.4942,0.5058,-0.08603673469387751,0.0
385b8ce0ef82e321f0a8936df1104804,player_threes,Domantas Sabonis,SAC,POR,draftkings,Over,185,0.5,1627734,0.3508771929824561,0.4338,0.5662,0.0829228070175439,0.12774594594594596
385b8ce0ef82e321f0a8936df1104804,player_threes,Domantas Sabonis,SAC,POR,draftkings,Under,-230,0.5,1627734,0.696969696969697,0.4338,0.5662,-0.13076969696969698,0.0
385b8ce0ef82e321f0a8936df1104804,player_threes,Harrison Barnes,SAC,POR,draftkings,Over,-125,1.5,203084,0.5555555555555556,0.6782,0.3218,0.12264444444444444,0.27595000000000003
385b8ce0ef82e321f0a8936df1104804,player_threes,Harrison Barnes,SAC,POR,draftkings,Under,-105,1.5,203084,0.5121951219512195,0.6782,0.3218,-0.19039512195121955,0.0
385b8ce0ef82e321f0a8936df1104804,player_threes,Keegan Murray,SAC,POR,draftkings,Over,125,2.5,1631099,0.4444444444444444,0.5542,0.4458,0.1097555555555556,0.19756
385b8ce0ef82e321f0a8936df1104804,player_threes,Keegan Murray,SAC,POR,draftkings,Under,-155,2.5,1631099,0.6078431372549019,0.5542,0.4458,-0.16204313725490194,0.0
385b8ce0ef82e321f0a8936df1104804,player_threes,Kevin Huerter,SAC,POR,draftkings,Over,125,2.5,1628989,0.4444444444444444,0.5269,0.4731,0.08245555555555562,0.14842
385b8ce0ef82e321f0a8936df1104804,player_threes,Kevin Huerter,SAC,POR,draftkings,Under,-155,2.5,1628989,0.6078431372549019,0.5269,0.4731,-0.1347431372549019,0.0
