id,player_name,matchup_home_team,matchup_away_team,sports_book,name,price,points
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,betonlineag,Under,-127,16.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,betonlineag,Over,-102,16.5
279cef4732d44dd312ab1035a269e359,Chris Paul,Phoenix Suns,Sacramento Kings,draftkings,Over,-110,15.5
279cef4732d44dd312ab1035a269e359,Chris Paul,Phoenix Suns,Sacramento Kings,draftkings,Under,-120,15.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,draftkings,Over,-115,26.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,draftkings,Under,-115,26.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,draftkings,Over,-125,20.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,draftkings,Under,-105,20.5
279cef4732d44dd312ab1035a269e359,Devin Booker,Phoenix Suns,Sacramento Kings,draftkings,Over,-135,24.5
279cef4732d44dd312ab1035a269e359,Devin Booker,Phoenix Suns,Sacramento Kings,draftkings,Under,105,24.5
279cef4732d44dd312ab1035a269e359,Domantas Sabonis,Phoenix Suns,Sacramento Kings,draftkings,Over,-110,19.5
279cef4732d44dd312ab1035a269e359,Domantas Sabonis,Phoenix Suns,Sacramento Kings,draftkings,Under,-120,19.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,draftkings,Over,-110,14.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,draftkings,Under,-120,14.5
279cef4732d44dd312ab1035a269e359,Keegan Murray,Phoenix Suns,Sacramento Kings,draftkings,Over,-120,11.5
279cef4732d44dd312ab1035a269e359,Keegan Murray,Phoenix Suns,Sacramento Kings,draftkings,Under,-110,11.5
279cef4732d44dd312ab1035a269e359,Kevin Huerter,Phoenix Suns,Sacramento Kings,draftkings,Over,-105,14.5
279cef4732d44dd312ab1035a269e359,Kevin Huerter,Phoenix Suns,Sacramento Kings,draftkings,Under,-125,14.5
279cef4732d44dd312ab1035a269e359,Terence Davis,Phoenix Suns,Sacramento Kings,draftkings,Over,-115,10.5
279cef4732d44dd312ab1035a269e359,Terence Davis,Phoenix Suns,Sacramento Kings,draftkings,Under,-115,10.5
279cef4732d44dd312ab1035a269e359,Torrey Craig,Phoenix Suns,Sacramento Kings,draftkings,Over,-115,7.5
279cef4732d44dd312ab1035a269e359,Torrey Craig,Phoenix Suns,Sacramento Kings,draftkings,Under,-115,7.5
279cef4732d44dd312ab1035a269e359,Chris Paul,Phoenix Suns,Sacramento Kings,betonlineag,Under,-122,15.5
279cef4732d44dd312ab1035a269e359,Chris Paul,Phoenix Suns,Sacramento Kings,betonlineag,Over,-106,15.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,betonlineag,Under,-115,26.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,betonlineag,Over,-112,26.5
279cef4732d44dd312ab1035a269e359,Domantas Sabonis,Phoenix Suns,Sacramento Kings,betonlineag,Under,-122,19.5
279cef4732d44dd312ab1035a269e359,Domantas Sabonis,Phoenix Suns,Sacramento Kings,betonlineag,Over,-106,19.5
279cef4732d44dd312ab1035a269e359,Kevin Huerter,Phoenix Suns,Sacramento Kings,betonlineag,Under,-125,14.5
279cef4732d44dd312ab1035a269e359,Kevin Huerter,Phoenix Suns,Sacramento Kings,betonlineag,Over,-103,14.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,betonlineag,Under,-115,20.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,betonlineag,Over,-112,20.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,betonlineag,Under,-116,14.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,betonlineag,Over,-111,14.5
279cef4732d44dd312ab1035a269e359,Keegan Murray,Phoenix Suns,Sacramento Kings,betonlineag,Under,-116,11.5
279cef4732d44dd312ab1035a269e359,Keegan Murray,Phoenix Suns,Sacramento Kings,betonlineag,Over,-111,11.5
279cef4732d44dd312ab1035a269e359,Devin Booker,Phoenix Suns,Sacramento Kings,betonlineag,Under,110,24.5
279cef4732d44dd312ab1035a269e359,Devin Booker,Phoenix Suns,Sacramento Kings,betonlineag,Over,-143,24.5
279cef4732d44dd312ab1035a269e359,Torrey Craig,Phoenix Suns,Sacramento Kings,betonlineag,Under,-119,7.5
279cef4732d44dd312ab1035a269e359,Torrey Craig,Phoenix Suns,Sacramento Kings,betonlineag,Over,-109,7.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-109,20.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-125,20.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-111,14.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-123,14.5
279cef4732d44dd312ab1035a269e359,Kevin Huerter,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-108,14.5
279cef4732d44dd312ab1035a269e359,Kevin Huerter,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-127,14.5
279cef4732d44dd312ab1035a269e359,Domantas Sabonis,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-113,19.5
279cef4732d44dd312ab1035a269e359,Domantas Sabonis,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-121,19.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-109,26.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-125,26.5
279cef4732d44dd312ab1035a269e359,Chris Paul,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-111,15.5
279cef4732d44dd312ab1035a269e359,Chris Paul,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-123,15.5
279cef4732d44dd312ab1035a269e359,Torrey Craig,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-119,7.5
279cef4732d44dd312ab1035a269e359,Torrey Craig,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-115,7.5
279cef4732d44dd312ab1035a269e359,Keegan Murray,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-111,11.5
279cef4732d44dd312ab1035a269e359,Keegan Murray,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-123,11.5
279cef4732d44dd312ab1035a269e359,Devin Booker,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-139,24.5
279cef4732d44dd312ab1035a269e359,Devin Booker,Phoenix Suns,Sacramento Kings,williamhill_us,Under,102,24.5
279cef4732d44dd312ab1035a269e359,Terence Davis,Phoenix Suns,Sacramento Kings,williamhill_us,Over,-117,10.5
279cef4732d44dd312ab1035a269e359,Terence Davis,Phoenix Suns,Sacramento Kings,williamhill_us,Under,-117,10.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,betmgm,Over,-105,20.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,betmgm,Under,-125,20.5
279cef4732d44dd312ab1035a269e359,Chris Paul,Phoenix Suns,Sacramento Kings,betmgm,Over,-110,15.5
279cef4732d44dd312ab1035a269e359,Chris Paul,Phoenix Suns,Sacramento Kings,betmgm,Under,-120,15.5
279cef4732d44dd312ab1035a269e359,Keegan Murray,Phoenix Suns,Sacramento Kings,betmgm,Over,-110,11.5
279cef4732d44dd312ab1035a269e359,Keegan Murray,Phoenix Suns,Sacramento Kings,betmgm,Under,-120,11.5
279cef4732d44dd312ab1035a269e359,Kevin Huerter,Phoenix Suns,Sacramento Kings,betmgm,Over,-105,14.5
279cef4732d44dd312ab1035a269e359,Kevin Huerter,Phoenix Suns,Sacramento Kings,betmgm,Under,-125,14.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,betmgm,Over,-115,26.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,betmgm,Under,-120,26.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,betmgm,Over,-110,14.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,betmgm,Under,-120,14.5
279cef4732d44dd312ab1035a269e359,Domantas Sabonis,Phoenix Suns,Sacramento Kings,betmgm,Over,-110,19.5
279cef4732d44dd312ab1035a269e359,Domantas Sabonis,Phoenix Suns,Sacramento Kings,betmgm,Under,-120,19.5
279cef4732d44dd312ab1035a269e359,Devin Booker,Phoenix Suns,Sacramento Kings,betmgm,Over,-120,24.5
279cef4732d44dd312ab1035a269e359,Devin Booker,Phoenix Suns,Sacramento Kings,betmgm,Under,-110,24.5
279cef4732d44dd312ab1035a269e359,Torrey Craig,Phoenix Suns,Sacramento Kings,betmgm,Over,-110,7.5
279cef4732d44dd312ab1035a269e359,Torrey Craig,Phoenix Suns,Sacramento Kings,betmgm,Under,-120,7.5
279cef4732d44dd312ab1035a269e359,T. Davis,Phoenix Suns,Sacramento Kings,betmgm,Over,-115,10.5
279cef4732d44dd312ab1035a269e359,T. Davis,Phoenix Suns,Sacramento Kings,betmgm,Under,-115,10.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,fanduel,Over,-113,26.5
279cef4732d44dd312ab1035a269e359,De'Aaron Fox,Phoenix Suns,Sacramento Kings,fanduel,Under,-115,26.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,fanduel,Over,-106,20.5
279cef4732d44dd312ab1035a269e359,Deandre Ayton,Phoenix Suns,Sacramento Kings,fanduel,Under,-120,20.5
279cef4732d44dd312ab1035a269e359,Harrison Barnes,Phoenix Suns,Sacramento Kings,fanduel,Over,-115,14.5
