id,prop_type,player_name,matchup_home_team,matchup_away_team,sports_book,name,price,points,nba_api_player_id
8b80fc750627fcdf4d465cf2bf265acc,player_points,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,betmgm,Under,-130,14.5,203497.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,bovada,Over,-120,28.5,1630162.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,bovada,Under,-110,28.5,1630162.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Bradley Beal,Minnesota Timberwolves,Washington Wizards,bovada,Over,-115,22.5,203078.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Bradley Beal,Minnesota Timberwolves,Washington Wizards,bovada,Under,-115,22.5,203078.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Daniel Gafford,Minnesota Timberwolves,Washington Wizards,bovada,Over,-105,9.5,1629655.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Daniel Gafford,Minnesota Timberwolves,Washington Wizards,bovada,Under,-125,9.5,1629655.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,bovada,Over,-120,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,bovada,Under,-110,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,bovada,Over,-115,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,bovada,Under,-115,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,bovada,Over,-115,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,bovada,Under,-115,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley Jr.,Minnesota Timberwolves,Washington Wizards,bovada,Over,-120,11.5,
