id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id
61b875f53dd51a04e3540f7740dc347d,player_threes,Kyle Kuzma,WAS,TOR,fanduel,Under,-128,2.5,1628398
61b875f53dd51a04e3540f7740dc347d,player_threes,Bradley Beal,WAS,TOR,fanduel,Over,-138,1.5,203078
61b875f53dd51a04e3540f7740dc347d,player_threes,Bradley Beal,WAS,TOR,fanduel,Under,108,1.5,203078
61b875f53dd51a04e3540f7740dc347d,player_threes,Gary Trent Jr.,TOR,WAS,betmgm,Over,145,2.5,1629018
61b875f53dd51a04e3540f7740dc347d,player_threes,Gary Trent Jr.,TOR,WAS,betmgm,Under,-200,2.5,1629018
61b875f53dd51a04e3540f7740dc347d,player_threes,Deni Avdija,WAS,TOR,betmgm,Over,-155,0.5,1630166
61b875f53dd51a04e3540f7740dc347d,player_threes,Deni Avdija,WAS,TOR,betmgm,Under,115,0.5,1630166
61b875f53dd51a04e3540f7740dc347d,player_threes,Chris Boucher,TOR,WAS,betmgm,Over,-125,0.5,1628449
61b875f53dd51a04e3540f7740dc347d,player_threes,Chris Boucher,TOR,WAS,betmgm,Under,-105,0.5,1628449
61b875f53dd51a04e3540f7740dc347d,player_threes,Corey Kispert,WAS,TOR,betmgm,Over,125,1.5,1630557
61b875f53dd51a04e3540f7740dc347d,player_threes,Corey Kispert,WAS,TOR,betmgm,Under,-165,1.5,1630557
61b875f53dd51a04e3540f7740dc347d,player_threes,Precious Achiuwa,TOR,WAS,betmgm,Over,145,0.5,1630173
61b875f53dd51a04e3540f7740dc347d,player_threes,Precious Achiuwa,TOR,WAS,betmgm,Under,-200,0.5,1630173
61b875f53dd51a04e3540f7740dc347d,player_threes,Bradley Beal,WAS,TOR,bovada,Over,-135,1.5,203078
61b875f53dd51a04e3540f7740dc347d,player_threes,Bradley Beal,WAS,TOR,bovada,Under,105,1.5,203078
61b875f53dd51a04e3540f7740dc347d,player_threes,Chris Boucher,TOR,WAS,bovada,Over,-125,0.5,1628449
61b875f53dd51a04e3540f7740dc347d,player_threes,Chris Boucher,TOR,WAS,bovada,Under,-105,0.5,1628449
61b875f53dd51a04e3540f7740dc347d,player_threes,Corey Kispert,WAS,TOR,bovada,Over,130,1.5,1630557
61b875f53dd51a04e3540f7740dc347d,player_threes,Corey Kispert,WAS,TOR,bovada,Under,-170,1.5,1630557
61b875f53dd51a04e3540f7740dc347d,player_threes,Delon Wright,WAS,TOR,bovada,Over,-190,0.5,1626153
61b875f53dd51a04e3540f7740dc347d,player_threes,Delon Wright,WAS,TOR,bovada,Under,145,0.5,1626153
61b875f53dd51a04e3540f7740dc347d,player_threes,Deni Avdija,WAS,TOR,bovada,Over,-150,0.5,1630166
61b875f53dd51a04e3540f7740dc347d,player_threes,Deni Avdija,WAS,TOR,bovada,Under,115,0.5,1630166
61b875f53dd51a04e3540f7740dc347d,player_threes,Fred VanVleet,TOR,WAS,bovada,Over,-145,2.5,1627832
61b875f53dd51a04e3540f7740dc347d,player_threes,Fred VanVleet,TOR,WAS,bovada,Under,110,2.5,1627832
61b875f53dd51a04e3540f7740dc347d,player_threes,Gary Trent Jr.,TOR,WAS,bovada,Over,145,2.5,1629018
61b875f53dd51a04e3540f7740dc347d,player_threes,Gary Trent Jr.,TOR,WAS,bovada,Under,-190,2.5,1629018
61b875f53dd51a04e3540f7740dc347d,player_threes,Kristaps Porzingis,WAS,TOR,bovada,Over,-200,1.5,204001
61b875f53dd51a04e3540f7740dc347d,player_threes,Kristaps Porzingis,WAS,TOR,bovada,Under,150,1.5,204001
61b875f53dd51a04e3540f7740dc347d,player_threes,Kyle Kuzma,WAS,TOR,bovada,Over,105,2.5,1628398
61b875f53dd51a04e3540f7740dc347d,player_threes,Kyle Kuzma,WAS,TOR,bovada,Under,-135,2.5,1628398
61b875f53dd51a04e3540f7740dc347d,player_threes,OG Anunoby Jr.,,,bovada,Over,-125,1.5,
61b875f53dd51a04e3540f7740dc347d,player_threes,OG Anunoby Jr.,,,bovada,Under,-105,1.5,
61b875f53dd51a04e3540f7740dc347d,player_threes,Pascal Siakam,TOR,WAS,bovada,Over,155,1.5,1627783
61b875f53dd51a04e3540f7740dc347d,player_threes,Pascal Siakam,TOR,WAS,bovada,Under,-210,1.5,1627783
61b875f53dd51a04e3540f7740dc347d,player_threes,Precious Achiuwa,TOR,WAS,bovada,Over,145,0.5,1630173
61b875f53dd51a04e3540f7740dc347d,player_threes,Precious Achiuwa,TOR,WAS,bovada,Under,-190,0.5,1630173
61b875f53dd51a04e3540f7740dc347d,player_threes,Scottie Barnes,TOR,WAS,bovada,Over,-165,0.5,1630567
61b875f53dd51a04e3540f7740dc347d,player_threes,Scottie Barnes,TOR,WAS,bovada,Under,125,0.5,1630567
9ce22ce34e34669f699bbddee679ad09,player_threes,Luka Doncic,DAL,PHI,fanduel,Over,-130,2.5,1629029
9ce22ce34e34669f699bbddee679ad09,player_threes,Luka Doncic,DAL,PHI,fanduel,Under,102,2.5,1629029
9ce22ce34e34669f699bbddee679ad09,player_threes,Tobias Harris,PHI,DAL,fanduel,Over,110,1.5,202699
9ce22ce34e34669f699bbddee679ad09,player_threes,Tobias Harris,PHI,DAL,fanduel,Under,-140,1.5,202699
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,fanduel,Over,-210,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,fanduel,Under,162,1.5,1630178
