id,home_team,away_team,site,over_under,odds
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,lowvig,217.5,217.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,betonlineag,217.5,217.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,circasports,219.0,219.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,draftkings,225.0,225.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,betus,225.5,225.5
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,betonlineag,225.5,225.5
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,williamhill_us,225.0,225.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,lowvig,225.5,225.5
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,wynnbet,225.0,225.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,bovada,224.5,224.5
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,fanduel,225,225
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,circasports,225.5,225.5
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,betmgm,224.5,224.5
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,mybookieag,224.5,224.5
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,superbook,225.0,225.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,betrivers,224.0,224.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,barstool,224.0,224.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,sugarhouse,224.0,224.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,twinspires,224.0,224.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,unibet_us,224.0,224.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,pointsbetus,225.0,225.0
501bd9ea134818e0a8692dbbcff03924,Chicago Bulls,Orlando Magic,foxbet,224.5,224.5
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,draftkings,235.0,235.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,williamhill_us,235.0,235.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,betus,234.5,234.5
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,lowvig,235.0,235.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,betonlineag,235.0,235.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,wynnbet,235.0,235.0
